"MCKINNEY MUNICIPAL AIRPORT, TX US (USW00053914)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1998-04-20,62,77,46,1.00,,
1998-04-21,57,69,44,0.00,,
1998-04-22,59,73,44,0.00,,
1998-04-23,59,75,42,0.00,,
1998-04-24,67,82,52,0.00,,
1998-04-25,71,79,62,0.00,,
1998-04-26,65,74,56,0.41,,
1998-04-27,61,70,52,0.00,,
1998-04-28,55,59,50,0.00,,
1998-04-29,53,65,41,0.00,,
1998-04-30,59,77,41,0.00,,
1998-05-01,65,83,47,0.00,,
1998-05-02,68,85,51,0.00,,
1998-05-03,65,76,54,0.00,,
1998-05-04,65,82,48,0.00,,
1998-05-05,75,83,66,0.00,,
1998-05-06,81,91,71,0.00,,
1998-05-07,75,89,61,0.01,,
1998-05-08,72,86,57,1.11,,
1998-05-09,71,81,60,0.00,,
1998-05-10,70,81,58,0.00,,
1998-05-11,71,86,55,0.01,,
1998-05-12,77,88,65,0.00,,
1998-05-13,77,85,68,0.00,,
1998-05-14,79,85,73,0.00,,
1998-05-15,72,88,55,0.00,,
1998-05-16,72,92,52,0.00,,
1998-05-17,77,87,66,0.00,,
1998-05-18,78,92,64,0.00,,
1998-05-19,80,92,67,0.00,,
1998-05-20,80,91,68,0.00,,
1998-05-21,81,92,70,0.00,,
1998-05-22,81,90,72,0.00,,
1998-05-23,80,88,72,0.00,,
1998-05-24,79,84,73,0.00,,
1998-05-25,79,85,72,0.01,,
1998-05-26,80,91,69,0.02,,
1998-05-27,74,81,66,1.22,,
1998-05-28,81,95,66,0.01,,
1998-05-29,84,97,71,0.00,,
1998-05-30,83,98,67,0.00,,
1998-05-31,86,100,71,0.00,,
1998-06-01,85,102,68,0.00,,
1998-06-02,88,100,75,0.00,,
1998-06-03,87,97,76,0.00,,
1998-06-04,81,94,68,1.00,,
1998-06-05,67,74,59,0.02,,
1998-06-06,67,79,55,0.00,,
1998-06-07,70,82,57,0.00,,
1998-06-08,82,93,71,0.00,,
1998-06-09,84,94,74,0.00,,
1998-06-10,81,91,71,1.43,,
1998-06-11,81,90,72,0.07,,
1998-06-12,85,99,71,0.00,,
1998-06-13,89,99,78,0.00,,
1998-06-14,83,97,69,0.00,,
1998-06-15,79,92,65,0.00,,
1998-06-16,79,96,61,0.00,,
1998-06-17,88,97,78,0.00,,
1998-06-18,90,98,82,0.00,,0.0
1998-06-19,91,100,81,0.00,,
1998-06-20,90,100,80,0.00,,
1998-06-21,89,99,78,0.00,,
1998-06-22,88,98,77,0.00,,
1998-06-23,87,96,78,0.00,,
1998-06-24,88,98,78,0.00,,
1998-06-25,,,,0.00,,
1998-06-26,88,97,78,0.00,,
1998-06-27,88,98,78,0.00,,
1998-06-28,89,99,78,0.00,,
1998-06-29,88,98,78,0.00,,
1998-06-30,88,99,77,0.00,,
1998-07-01,89,101,76,0.00,,
1998-07-02,91,102,80,0.00,,
1998-07-03,87,98,75,0.00,,
1998-07-04,84,92,75,0.36,,
1998-07-05,86,96,75,0.00,,
1998-07-06,91,102,79,0.00,,
1998-07-07,90,103,77,0.00,,
1998-07-08,90,101,78,0.00,,
1998-07-09,90,102,77,0.00,,
1998-07-10,91,105,77,0.00,,
1998-07-11,91,106,75,0.00,,
1998-07-12,97,111,83,0.00,,
1998-07-13,90,102,77,0.00,,
1998-07-14,88,101,75,0.00,,0.0
1998-07-15,89,104,74,0.00,,
1998-07-16,91,106,75,0.00,,
1998-07-17,88,101,74,0.64,,0.0
1998-07-18,87,100,73,0.00,,
1998-07-19,89,102,75,0.00,,
1998-07-20,88,100,75,0.00,,
1998-07-21,88,100,76,0.00,,
1998-07-22,89,100,77,0.00,,
1998-07-23,90,102,77,0.00,,
1998-07-24,90,103,77,0.00,,
